"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,154269898,51423299,85.60591210457244
"hipDeviceSynchronize",2,24936394,12468197,13.83745488033568
"hipLaunchKernel",6,498834,83139,0.27680798465798095
"hipFree",3,362368,120789,0.20108163393943324
"hipMalloc",3,139829,46609,0.07759251311406364
"__hipPushCallConfiguration",6,1194,199,0.0006625625632607826
"__hipPopCallConfiguration",6,880,146,0.0004883208171436254
